page	family	priority	r4Url	r6Url	whyReview
operationoutcome.html	rest	Medium	https://hl7.org/fhir/R4/operationoutcome.html	https://hl7.org/fhir/6.0.0-ballot4/operationoutcome.html	Error response shape and diagnostic semantics.
capabilitystatement.html	rest	High	https://hl7.org/fhir/R4/capabilitystatement.html	https://hl7.org/fhir/6.0.0-ballot4/capabilitystatement.html	Conformance/capability advertisement for resources, interactions, formats, searches, and operations.
search.html	search	High	https://hl7.org/fhir/R4/search.html	https://hl7.org/fhir/6.0.0-ballot4/search.html	Search transport, matching semantics, modifiers, prefixes, chaining, includes, paging, totals, sorting, and filtering.
searchparameter.html	search	High	https://hl7.org/fhir/R4/searchparameter.html	https://hl7.org/fhir/6.0.0-ballot4/searchparameter.html	SearchParameter resource semantics and fields that affect query behavior.
searchparameter-registry.html	search	High	https://hl7.org/fhir/R4/searchparameter-registry.html	https://hl7.org/fhir/6.0.0-ballot4/searchparameter-registry.html	Human-readable registry and grouping for search parameters; package JSON remains authoritative inventory.
compartmentdefinition.html	search	Medium	https://hl7.org/fhir/R4/compartmentdefinition.html	https://hl7.org/fhir/6.0.0-ballot4/compartmentdefinition.html	Compartment-scoped search and patient/encounter-related query context.
operations.html	operations	High	https://hl7.org/fhir/R4/operations.html	https://hl7.org/fhir/6.0.0-ballot4/operations.html	Extended operation framework, invocation, idempotence, parameters, side effects, and conformance.
operationslist.html	operations	High	https://hl7.org/fhir/R4/operationslist.html	https://hl7.org/fhir/6.0.0-ballot4/operationslist.html	Human-readable operation list; package JSON remains authoritative inventory.
operationdefinition.html	operations	High	https://hl7.org/fhir/R4/operationdefinition.html	https://hl7.org/fhir/6.0.0-ballot4/operationdefinition.html	OperationDefinition resource semantics, invocation flags, affectsState, and parameter interpretation.
terminology-service.html	operations	High	https://hl7.org/fhir/R4/terminology-service.html	https://hl7.org/fhir/6.0.0-ballot4/terminology-service.html	Terminology operation behavior for expand, validate-code, lookup, subsumes, translate, and related services.
terminology-module.html	operations	Medium	https://hl7.org/fhir/R4/terminology-module.html	https://hl7.org/fhir/6.0.0-ballot4/terminology-module.html	Terminology module narrative that may explain operation and binding changes.
documents.html	exchange-patterns	Medium	https://hl7.org/fhir/R4/documents.html	https://hl7.org/fhir/6.0.0-ballot4/documents.html	Document Bundle behavior and Composition/document operation context.
messaging.html	exchange-patterns	Medium	https://hl7.org/fhir/R4/messaging.html	https://hl7.org/fhir/6.0.0-ballot4/messaging.html	Message Bundle and MessageHeader processing behavior.
graphql.html	exchange-patterns	Medium	https://hl7.org/fhir/R4/graphql.html	https://hl7.org/fhir/6.0.0-ballot4/graphql.html	GraphQL endpoint behavior and relation to Resource-graphql operation.
validation.html	exchange-patterns	Medium	https://hl7.org/fhir/R4/validation.html	https://hl7.org/fhir/6.0.0-ballot4/validation.html	Validation guidance and validate operation behavior.
subscription.html	exchange-patterns	High	https://hl7.org/fhir/R4/subscription.html	https://hl7.org/fhir/6.0.0-ballot4/subscription.html	Subscription resource behavior, channel/topic semantics, and event delivery migration.
subscriptions.html	exchange-patterns	Medium		https://hl7.org/fhir/6.0.0-ballot4/subscriptions.html	R6 subscription framework page. R4 has no matching page.
subscriptiontopic.html	exchange-patterns	Medium		https://hl7.org/fhir/6.0.0-ballot4/subscriptiontopic.html	R6 SubscriptionTopic resource/page. R4 has no matching page.
clinicalreasoning-module.html	module-behavior	Medium	https://hl7.org/fhir/R4/clinicalreasoning-module.html	https://hl7.org/fhir/6.0.0-ballot4/clinicalreasoning-module.html	Measure, Library, PlanDefinition, and ActivityDefinition operation context.
resourcelist.html	navigation	Low	https://hl7.org/fhir/R4/resourcelist.html	https://hl7.org/fhir/6.0.0-ballot4/resourcelist.html	Resource inventory context for removed/renamed endpoints.
